"시점","범죄발생시간별(1)",계,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
"시점","범죄발생시간별(1)",소계,소계,살인기수,살인미수등,강도,강간·강제추행,강간,유사강간,강제추행,기타 강간·강제추행등,방화,소계,소계,상해,폭행,체포·감금,협박,약취·유인,폭력행위등,공갈,손괴,소계,직무유기,직권남용,증수뢰,통화,문서·인장,유가증권인지,사기,횡령,배임,소계,성풍속범죄,도박범죄,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"2011","계",1752598,26699,427,777,3994,19498,-,-,-,-,2003,281362,311945,67206,126651,832,3578,266,46729,5239,61444,279802,377,226,586,7900,14948,803,223470,26767,4725,28834,13381,15453,68026,4160,14083,2649,536167,1584,131,212,20587,176357
"2011","00:00~02:59",175531,3716,55,90,609,2614,-,-,-,-,348,33013,47209,10035,20939,78,254,19,7874,334,7676,13910,10,14,7,359,485,29,11367,1275,364,1111,444,667,3721,170,879,97,56475,54,10,12,420,14734
"2011","03:00~05:59",101392,3982,34,83,820,2761,-,-,-,-,284,20502,31683,6528,13954,65,129,8,6056,130,4813,4403,2,8,1,31,80,4,3867,405,5,504,202,302,1371,85,388,27,30616,17,6,4,1,7803
"2011","06:00~08:59",88871,2312,51,51,240,1838,-,-,-,-,132,19069,16231,3559,6482,56,112,17,2383,222,3400,2651,-,3,4,100,59,7,2047,427,4,447,304,143,1194,43,107,94,39598,10,1,8,81,7025
"2011","09:00~11:59",178310,1425,35,57,237,958,-,-,-,-,138,31812,19449,4370,7391,103,400,25,2377,375,4408,43054,68,41,54,2039,2582,109,33328,3754,1079,1612,705,907,9080,259,1479,439,43072,170,19,36,3288,23116
"2011","12:00~14:59",99469,1095,15,44,179,748,-,-,-,-,109,20846,13748,3046,5367,46,223,30,1915,417,2704,13961,12,11,35,454,844,50,11286,1115,154,1242,378,864,3450,215,569,349,33404,60,3,19,245,10263
"2011","15:00~17:59",162018,1954,48,72,280,1349,-,-,-,-,205,34307,27269,5708,10095,83,383,45,4053,1013,5889,14352,22,9,25,603,508,52,11804,1265,64,2945,787,2158,4514,340,1069,391,58581,60,8,30,106,16092
"2011","18:00~20:59",192126,2741,63,110,341,1976,-,-,-,-,251,44176,42818,8186,16446,98,396,34,5391,807,11460,9068,10,9,51,208,324,30,7232,1169,35,3299,706,2593,3760,352,857,99,70419,93,8,14,99,14323
"2011","21:00~23:59",317650,4141,75,149,466,3110,-,-,-,-,341,38819,71031,14170,31607,95,396,27,10009,519,14208,9160,5,3,44,115,285,30,7581,1083,14,3240,752,2488,4985,431,2171,83,160684,223,13,2,44,22623
"2011","미상",437231,5333,51,121,822,4144,-,-,-,-,195,38818,42507,11604,14370,208,1285,61,6671,1422,6886,169243,248,128,365,3991,9781,492,134958,16274,3006,14434,9103,5331,35951,2265,6564,1070,43318,897,63,87,16303,60378
"2012","계",1793400,25152,411,584,2587,19670,-,-,-,-,1900,290460,312579,62342,130546,876,4480,200,46725,6698,60712,295101,496,276,357,8203,14393,508,235366,31273,4229,24801,14935,9866,78155,4268,16800,3128,542784,1391,109,1262,23143,174267
"2012","00:00~02:59",130371,3023,36,59,381,2278,-,-,-,-,269,23761,40387,7751,18911,56,222,9,6915,207,6316,6268,4,11,2,51,193,10,5149,837,11,734,374,360,2573,110,639,24,42507,30,5,11,11,10288
"2012","03:00~05:59",106086,3620,34,45,594,2675,-,-,-,-,272,23392,31567,6107,14228,69,145,5,5910,165,4938,4901,6,4,1,36,127,5,4034,686,2,475,286,189,1858,87,369,29,31839,21,2,14,3,7909
"2012","06:00~08:59",94612,1947,26,24,136,1654,-,-,-,-,107,20292,16947,3401,6918,55,199,14,2470,269,3621,3423,5,6,1,142,65,2,2315,884,3,568,464,104,1549,53,112,122,41865,33,3,49,44,7605
"2012","09:00~11:59",191682,1453,51,48,135,1073,-,-,-,-,146,31732,20643,4412,7942,98,506,29,2558,612,4486,49899,110,43,84,2018,2364,86,39296,4891,1007,1411,961,450,10887,261,2301,424,44621,245,13,225,4085,23482
"2012","12:00~14:59",156610,1549,46,44,169,1142,-,-,-,-,148,32648,20690,4254,8129,89,427,22,2787,758,4224,26924,27,29,37,777,994,41,22459,2292,268,1731,983,748,6360,292,1973,824,47385,74,8,142,775,15235
"2012","15:00~17:59",169246,1897,46,61,155,1423,-,-,-,-,212,36720,28258,5508,10848,84,473,34,4079,1173,6059,17064,18,17,22,590,538,24,13987,1813,55,3278,1608,1670,5225,322,1178,358,59278,45,10,124,106,15383
"2012","18:00~20:59",199880,2440,56,105,228,1799,-,-,-,-,252,45653,42072,7572,16806,123,544,22,5376,935,10694,10618,17,6,8,209,359,19,8323,1653,24,3227,1296,1931,4828,477,900,69,75466,73,5,86,108,13858
"2012","21:00~23:59",315551,4128,69,123,349,3248,-,-,-,-,339,39745,69711,13043,31950,114,547,21,9879,591,13566,10746,10,11,2,133,432,13,8483,1656,6,3377,1353,2024,5988,439,1882,67,157988,157,9,38,28,21248
"2012","미상",429362,5095,47,75,440,4378,-,-,-,-,155,36517,42304,10294,14814,188,1417,44,6751,1988,6808,165258,299,149,200,4247,9321,308,131320,16561,2853,10000,7610,2390,38887,2227,7446,1211,41835,713,54,573,17983,59259
"2013","계",1857276,26962,342,587,1980,-,5753,132,14778,1647,1743,288343,294188,55884,128699,929,4661,188,41704,4310,57813,329439,555,325,253,3874,15385,456,269082,34892,4617,27373,19385,7988,71019,4598,20383,4135,573453,1721,135,398,26173,188956
"2013","00:00~02:59",127974,3040,34,51,277,-,672,19,1568,175,244,23674,37827,6856,18379,72,244,3,6152,164,5957,7976,3,9,1,28,177,6,6470,1268,14,781,501,280,2545,148,636,19,41457,29,1,5,16,9820
"2013","03:00~05:59",109583,3430,25,48,399,-,793,15,1626,291,233,24309,30327,5382,14321,73,195,3,5395,108,4850,5339,4,5,0,21,97,8,4301,900,3,578,431,147,2068,106,378,24,31388,14,1,9,2,11610
"2013","06:00~08:59",95392,2058,25,34,109,-,401,7,1265,104,113,19715,16033,3055,6977,49,165,20,2172,150,3445,3392,2,10,1,45,77,4,2423,817,13,797,720,77,1832,66,154,96,42961,21,3,23,36,8205
"2013","09:00~11:59",211569,1625,37,65,143,-,305,8,857,86,124,31528,19732,4000,7846,105,543,30,2358,338,4512,55880,161,60,40,819,2848,93,45224,5289,1346,1866,1472,394,9144,325,4084,1623,49310,560,15,72,4473,31332
"2013","12:00~14:59",162572,1651,37,50,101,-,291,13,911,95,153,33167,19817,3980,8357,100,486,27,2484,378,4005,29908,51,25,17,335,1088,38,25096,2939,319,1946,1358,588,5895,320,2090,490,50490,59,14,51,822,15852
"2013","15:00~17:59",173869,2150,46,67,158,-,324,9,1281,97,168,36569,26033,5106,10509,97,495,18,3442,641,5725,21391,22,19,15,301,662,19,17617,2630,106,3249,1959,1290,5155,460,1752,369,62000,41,12,53,167,14468
"2013","18:00~20:59",201643,2700,49,76,159,-,398,5,1672,108,233,44081,39720,6737,16485,111,487,27,4976,673,10224,14495,12,17,7,157,340,13,11586,2329,34,3326,1653,1673,4881,511,1208,66,76543,86,15,33,113,13865
"2013","21:00~23:59",329374,4407,60,108,270,-,723,10,2730,163,343,37964,66407,11925,31658,118,599,12,9018,478,12599,13122,6,26,11,69,355,10,10387,2246,12,3326,1724,1602,6075,466,1967,70,173041,166,4,16,26,22317
"2013","미상",445300,5901,29,88,364,-,1846,46,2868,528,132,37336,38292,8843,14167,204,1447,48,5707,1380,6496,177936,294,154,161,2099,9741,265,145978,16474,2770,11504,9567,1937,33424,2196,8114,1378,46263,745,70,136,20518,61487
"2014","계",1778966,25277,372,541,1586,-,5078,375,14611,991,1723,266222,290079,50281,132920,945,5187,198,37689,4862,57997,298652,577,364,251,2770,14441,360,238409,37024,4456,24976,16683,8293,72908,4825,14657,2536,573493,1308,84,1874,21549,180526
"2014","00:00~02:59",124068,2743,32,50,249,-,586,48,1448,106,224,21567,36177,6015,18554,43,268,6,5408,229,5654,7172,4,10,2,25,162,3,5636,1315,15,809,572,237,2768,121,480,17,41939,17,1,14,10,10233
"2014","03:00~05:59",101193,3039,38,48,297,-,664,48,1542,192,210,21195,28642,4613,14265,72,212,5,4669,150,4656,5098,1,8,-,28,114,-,3974,970,3,546,386,160,2231,97,268,26,32441,5,2,15,1,7587
"2014","06:00~08:59",93165,1926,27,38,86,-,337,27,1243,67,101,17918,15977,2824,7116,70,229,18,1996,94,3630,3589,5,10,4,83,63,2,2447,969,6,938,837,101,2024,44,146,83,44610,13,1,82,42,5772
"2014","09:00~11:59",198855,1526,42,51,92,-,279,20,852,60,130,29081,20533,3892,8492,121,612,23,2307,422,4664,51223,143,85,27,554,2917,71,40455,5864,1107,2178,1584,594,10083,312,1417,404,53045,498,15,375,3941,24224
"2014","12:00~14:59",159772,1681,44,47,120,-,279,24,962,57,148,30903,20057,3656,8821,92,511,28,2353,328,4268,27536,61,33,14,273,1072,28,22625,3128,302,2015,1445,570,6652,357,1090,277,54231,94,5,191,777,13906
"2014","15:00~17:59",173441,2174,41,60,115,-,278,29,1352,77,222,34679,26049,4615,11249,98,584,30,3057,526,5890,19458,26,19,11,246,546,17,15829,2676,88,2946,1900,1046,6028,484,1333,209,65612,61,6,132,88,14182
"2014","18:00~20:59",201323,2671,58,77,142,-,336,33,1743,70,212,40322,40093,6272,17394,105,649,27,4733,664,10249,13961,9,15,17,146,299,9,10733,2687,46,3355,1883,1472,5702,548,1020,63,79167,55,2,151,78,14135
"2014","21:00~23:59",310524,4045,56,99,204,-,646,37,2588,96,319,35015,64504,10555,32167,124,700,12,8064,618,12264,12977,5,17,5,81,325,4,9729,2793,18,3149,1704,1445,7676,453,1735,57,157320,111,10,69,39,23364
"2014","미상",416625,5472,34,71,281,-,1673,109,2881,266,157,35542,38047,7839,14862,220,1422,49,5102,1831,6722,157638,323,167,171,1334,8943,226,126981,16622,2871,9040,6372,2668,29744,2409,7168,1400,45128,454,42,845,16573,67123
"2015","계",1861657,25334,365,564,1446,-,5151,518,15059,558,1673,245853,305947,48005,149278,1028,9187,190,35686,3596,58977,316121,507,401,247,1822,14546,282,247293,46734,4289,24491,16219,8272,86329,6411,14602,2955,596665,1145,121,760,18726,216197
"2015","00:00~02:59",124560,2686,21,52,232,-,601,71,1460,63,186,19591,37411,5536,20562,65,540,6,4878,143,5681,7629,5,11,-,18,201,-,5435,1943,16,789,525,264,2830,178,530,29,42233,22,4,1,25,10602
"2015","03:00~05:59",104919,2964,37,48,262,-,734,72,1575,72,164,19544,30241,4464,16200,68,400,5,4422,85,4597,5729,3,16,-,21,143,3,3870,1671,2,564,383,181,2176,135,299,32,35125,10,5,1,-,8094
"2015","06:00~08:59",102344,1861,30,43,79,-,320,39,1213,23,114,16573,17459,2792,8169,45,467,10,2023,93,3860,4386,4,2,1,58,118,-,2687,1514,2,1199,1094,105,1841,92,134,80,49475,3,7,24,32,9178
"2015","09:00~11:59",210771,1640,47,54,105,-,340,19,890,36,149,26273,22567,3757,9794,136,1045,22,2292,313,5208,53372,110,98,27,334,2866,58,42233,6648,998,1660,1182,478,10190,476,1905,747,59046,222,14,148,3017,29494
"2015","12:00~14:59",173791,1689,37,46,97,-,273,36,1011,32,157,29383,21655,3619,9944,97,879,23,2242,291,4560,29583,50,28,13,187,1073,33,23620,4206,373,1951,1406,545,7687,578,1163,282,60036,43,16,56,720,18949
"2015","15:00~17:59",189338,2109,40,72,91,-,267,30,1374,45,190,32602,27823,4594,12511,126,998,35,3055,387,6117,21509,25,29,6,179,566,18,16566,4043,77,3168,2086,1082,7436,572,1518,305,73760,21,8,38,119,18350
"2015","18:00~20:59",209512,2767,51,85,145,-,331,45,1804,53,253,35746,41994,5967,19528,142,1289,21,4434,510,10103,16461,7,18,16,86,402,10,11737,4149,36,3453,1992,1461,7112,611,990,79,83198,25,9,32,59,16976
"2015","21:00~23:59",309885,3943,57,99,184,-,596,55,2596,54,302,30550,67238,9874,35870,150,1395,21,7543,417,11968,15228,10,24,5,50,385,1,10452,4288,13,3475,1919,1556,10380,548,1693,64,152143,89,3,12,30,24489
"2015","미상",436537,5675,45,65,251,-,1689,151,3136,180,158,35591,39559,7402,16700,199,2174,47,4797,1357,6883,162224,293,175,179,889,8792,159,130693,18272,2772,8232,5632,2600,36677,3221,6370,1337,41649,710,55,448,14724,80065
"2016","계",1849450,25765,356,558,1149,-,5155,583,16054,408,1502,203037,309394,50028,165803,1318,15870,201,13302,3745,59127,312577,531,437,260,1811,13295,219,241613,50053,4358,26165,12719,13446,65025,7329,14662,4349,600401,2457,81,1018,16651,260539
"2016","00:00~02:59",121805,2978,30,47,147,-,695,68,1771,47,173,15516,38007,6054,22672,103,1081,7,2136,161,5793,7790,3,16,3,18,215,-,5252,2269,14,979,564,415,2527,244,506,21,40532,14,3,10,6,12672
"2016","03:00~05:59",107865,3068,32,38,200,-,743,80,1737,53,185,15827,30550,4735,18194,92,797,9,2002,106,4615,6041,5,10,1,17,151,3,3886,1968,-,669,448,221,1845,184,270,42,37506,11,2,15,-,11835
"2016","06:00~08:59",108645,1962,32,42,78,-,366,39,1282,17,106,13871,18553,3027,9597,103,1047,9,758,88,3924,4932,7,11,3,49,85,-,2794,1974,9,948,754,194,1875,145,148,490,54513,9,4,42,23,11130
"2016","09:00~11:59",227039,1652,36,53,71,-,301,44,992,25,130,22842,23425,3982,11261,146,1810,28,667,353,5178,52428,132,76,37,339,2525,50,41443,6730,1096,2109,1133,976,8422,591,1905,914,66856,620,15,168,2534,42558
"2016","12:00~14:59",181967,1808,39,62,103,-,294,29,1112,25,144,26339,23216,3839,11586,128,1710,26,741,326,4860,31328,38,44,13,157,992,24,24374,5269,417,2255,1261,994,6524,641,990,501,63468,73,6,88,610,24120
"2016","15:00~17:59",197666,2252,51,70,86,-,287,54,1513,34,157,28529,28513,4687,14027,169,1973,33,979,435,6210,22434,19,29,11,174,528,5,16628,4968,72,3181,1833,1348,6044,837,1867,463,76556,29,8,88,89,26776
"2016","18:00~20:59",212977,3039,41,67,136,-,405,47,2084,42,217,29447,42400,6470,21765,183,2279,31,1427,449,9796,17644,11,20,11,89,392,4,11863,5217,37,3459,1708,1751,5757,829,980,62,84797,35,7,92,80,24349
"2016","21:00~23:59",297734,4360,60,131,142,-,703,78,2926,55,265,25121,67261,10354,39182,200,2711,14,2651,381,11768,16702,9,33,8,48,469,-,10968,5152,15,3330,1740,1590,8043,732,1570,66,138810,87,7,43,35,31567
"2016","미상",393752,4646,35,48,186,-,1361,144,2637,110,125,25545,37469,6880,17519,194,2462,44,1941,1446,6983,153278,307,198,173,920,7938,133,124405,16506,2698,9235,3278,5957,23988,3126,6426,1790,37363,1579,29,472,13274,75532
"2017","계",1662341,27274,301,524,967,-,5223,636,17947,304,1372,183757,293086,44611,159641,1439,15499,206,11255,4152,56283,302466,504,494,312,2794,12452,217,231489,50498,3706,22501,13812,8689,53356,7501,12561,4879,501162,2862,98,640,15327,234871
"2017","00:00~02:59",111172,3182,20,47,132,-,720,82,1994,30,157,13734,35100,5278,21395,106,999,11,1870,150,5291,8144,-,14,-,8,190,2,5437,2487,6,927,647,280,2105,307,508,24,36241,21,4,17,6,10852
"2017","03:00~05:59",98922,3377,28,41,162,-,886,101,1981,38,140,14362,29547,4426,17631,131,767,11,1796,81,4704,6107,3,7,1,19,134,2,3834,2105,2,723,542,181,1589,202,291,35,33054,13,4,18,2,9598
"2017","06:00~08:59",97823,2205,31,44,58,-,383,58,1527,19,85,12491,17986,2709,9412,121,1099,12,588,85,3960,5147,8,10,-,89,159,1,2844,2031,5,1133,911,222,1444,148,108,1011,45162,7,5,55,30,10891
"2017","09:00~11:59",202798,1992,21,62,69,-,353,43,1309,25,110,21376,22848,3597,11236,168,1780,27,552,403,5085,53020,140,92,43,558,2438,50,41906,6928,865,1900,1309,591,7412,671,1360,714,53784,682,15,127,2206,34691
"2017","12:00~14:59",166767,2064,38,47,74,-,309,49,1363,23,161,24533,22326,3516,11508,145,1731,30,592,298,4506,33174,37,48,24,291,1672,21,25422,5419,240,2006,1366,640,5641,743,864,332,51906,86,9,76,363,22644
"2017","15:00~17:59",178130,2475,38,62,87,-,330,50,1730,24,154,26865,27586,4267,13903,150,1945,39,810,478,5994,23158,16,37,13,306,603,17,16567,5530,69,3142,2071,1071,4915,853,1107,298,64011,71,7,85,57,23500
"2017","18:00~20:59",189354,3296,53,72,99,-,397,51,2398,23,203,26609,40083,5708,20798,202,2386,30,1175,654,9130,17306,11,26,19,97,306,7,11251,5555,34,3239,1966,1273,4607,843,867,117,71345,57,6,58,56,20865
"2017","21:00~23:59",258892,4469,43,98,134,-,688,73,3142,42,249,22137,62939,9228,37016,216,2553,5,2304,603,11014,16869,5,25,5,55,436,-,10811,5515,17,3089,1917,1172,6160,769,1504,80,112998,69,11,47,40,27711
"2017","미상",358483,4214,29,51,152,-,1157,129,2503,80,113,21650,34671,5882,16742,200,2239,41,1568,1400,6599,139541,284,235,207,1371,6514,117,113417,14928,2468,6342,3083,3259,19483,2965,5952,2268,32661,1856,37,157,12567,74119
"2018","계",1580751,26787,309,488,821,-,5293,776,17053,356,1691,176809,287611,39766,159267,1207,17200,187,9204,4096,56684,344698,581,603,347,1194,12290,197,270029,55113,4344,20162,14158,6004,53994,6513,11033,4791,408371,1883,69,1897,14271,221862
"2018","00:00~02:59",99089,2944,24,41,110,-,665,96,1803,40,165,12581,32382,4526,19941,99,1067,2,1415,119,5213,8064,3,10,4,8,152,1,5374,2504,8,884,703,181,1973,263,477,21,29333,9,-,25,1,10132
"2018","03:00~05:59",89509,3252,22,34,134,-,865,129,1865,48,155,13717,27537,3660,16811,90,847,9,1505,91,4524,6271,2,12,-,1,151,1,3915,2189,-,663,570,93,1489,155,304,29,27028,10,1,19,-,9034
"2018","06:00~08:59",87417,1957,27,36,49,-,375,71,1269,22,108,12473,17522,2426,9409,86,1102,13,516,65,3905,5373,3,12,3,28,131,1,2755,2434,6,856,759,97,1307,123,104,107,37387,12,3,94,41,10058
"2018","09:00~11:59",179038,2005,36,40,75,-,341,48,1169,31,265,20412,22865,3208,11742,114,1890,14,463,304,5130,49689,117,123,76,211,2636,37,38319,7439,731,1380,1156,224,7011,529,934,770,42453,131,15,325,1752,28767
"2018","12:00~14:59",157707,2041,32,41,64,-,330,47,1302,23,202,24515,22763,3282,12011,122,1769,42,503,340,4694,35810,31,60,28,114,1139,14,28345,5837,242,1663,1268,395,6198,724,578,1048,42866,633,6,161,254,18447
"2018","15:00~17:59",166467,2406,27,49,67,-,349,53,1627,45,189,26631,28077,3809,14604,154,2094,35,752,485,6144,27529,26,26,10,117,410,14,20807,6062,57,2579,1826,753,5867,789,760,241,52436,33,8,141,58,18912
"2018","18:00~20:59",172965,3115,49,83,89,-,422,59,2163,35,215,25655,39587,5124,20925,167,2747,28,943,587,9066,18963,7,24,12,37,306,3,12481,6063,30,2676,1784,892,3867,658,745,80,60050,26,3,135,58,17347
"2018","21:00~23:59",223374,4335,37,101,97,-,676,120,3007,43,254,19962,59022,7956,35219,162,2851,17,1693,491,10633,17692,10,20,1,11,365,3,11279,5986,17,2680,1814,866,4887,639,1382,73,90043,66,5,54,29,22505
"2018","미상",405185,4732,55,63,136,-,1270,153,2848,69,138,20863,37856,5775,18605,213,2833,27,1414,1614,7375,175307,382,316,213,667,7000,123,146754,16599,3253,6781,4278,2503,21395,2633,5749,2422,26775,963,28,943,12078,86660
"2019","계",1611906,26476,297,482,798,-,5310,782,17120,325,1362,186957,287913,36858,157197,1243,21022,250,8350,4847,58146,381533,590,674,260,980,11343,140,304472,58508,4566,21153,13145,8008,51400,8038,12570,3877,377354,975,169,611,12712,240168
"2019","00:00~02:59",94095,2920,15,33,105,-,630,102,1855,36,144,13088,31290,4166,19226,96,1316,10,1234,135,5107,8393,2,8,-,9,174,-,5443,2754,3,920,736,184,1688,244,596,42,24513,20,2,-,3,10376
"2019","03:00~05:59",86471,3316,21,50,131,-,885,110,1921,47,151,14167,26880,3408,16377,106,1036,12,1263,122,4556,6637,3,11,-,9,134,1,3949,2526,4,709,597,112,1426,214,404,53,23438,41,-,1,1,9184
"2019","06:00~08:59",88488,1977,20,29,44,-,417,57,1293,12,105,13094,17572,2247,9345,76,1339,17,460,74,4014,5971,8,12,2,27,63,2,3056,2780,21,887,773,114,1333,151,140,117,37189,80,-,22,20,9935
"2019","09:00~11:59",183235,1799,28,44,59,-,293,62,1163,26,124,21501,23112,2967,11591,122,2288,29,450,388,5277,49269,123,135,25,183,1688,27,39184,6781,1123,1582,1126,456,6702,635,880,458,44265,124,10,121,1440,31337
"2019","12:00~14:59",169090,1966,38,46,68,-,325,60,1300,20,109,27167,23919,3025,12509,147,2251,41,508,455,4983,38231,33,48,11,115,747,9,30405,6586,277,1713,1225,488,5340,773,694,290,45675,125,18,53,285,22841
"2019","15:00~17:59",172107,2447,33,60,72,-,311,55,1706,37,173,28553,28939,3684,14791,146,2687,48,704,590,6289,28941,21,40,6,95,464,15,21648,6584,68,2577,1724,853,4802,890,1009,190,53506,117,10,34,55,20037
"2019","18:00~20:59",175503,3089,43,66,81,-,425,66,2189,30,189,27229,39618,4585,20704,135,3304,32,936,599,9323,20981,9,26,8,41,275,7,13930,6646,39,2543,1675,868,3768,776,893,90,58164,53,3,38,58,18200
"2019","21:00~23:59",204508,4215,49,82,107,-,719,89,2901,40,228,20568,57944,7433,34120,185,3437,13,1427,507,10822,19100,5,15,4,22,290,2,12387,6367,8,2750,1931,819,4320,674,1747,126,70537,78,6,3,19,22421
"2019","미상",438409,4747,50,72,131,-,1305,181,2792,77,139,21590,38639,5343,18534,230,3364,48,1368,1977,7775,204010,386,379,204,479,7508,77,174470,17484,3023,7472,3358,4114,22021,3681,6207,2511,20067,337,120,339,10831,95837
"2020","계",1587866,24332,308,416,663,-,5313,823,15344,237,1228,179517,265768,32904,139361,1209,21214,210,7398,5281,58191,424642,730,724,289,626,11533,84,347675,58889,4092,22632,14497,8135,47826,9186,14595,3568,348725,356,216,829,3845,241829
"2020","00:00~02:59",86398,2642,20,35,80,-,636,96,1619,24,132,11778,27024,3514,15946,85,1235,7,1116,120,5001,8553,2,11,-,2,147,-,5714,2672,5,968,818,150,1527,333,704,14,23344,18,1,3,2,9487
"2020","03:00~05:59",81043,2754,30,27,93,-,750,127,1568,27,132,13661,23076,2951,13505,104,1022,6,1025,106,4357,6607,4,10,-,6,82,2,4082,2421,-,685,591,94,1239,214,449,23,21560,5,2,7,1,10760
"2020","06:00~08:59",81052,1478,23,40,34,-,358,58,882,16,67,12380,15870,2016,8012,70,1340,8,394,59,3971,6507,9,11,3,18,74,2,3688,2698,4,798,733,65,1329,176,162,75,31329,7,2,32,8,10899
"2020","09:00~11:59",174325,1736,29,38,57,-,337,54,1096,20,105,21210,21627,2753,10517,110,2225,21,424,345,5232,49785,137,145,25,95,1547,10,40259,6860,707,1620,1174,446,5766,753,1159,411,39356,43,20,136,370,30333
"2020","12:00~14:59",172610,1913,23,34,63,-,331,45,1271,22,124,26695,22934,2730,11525,138,2348,43,475,477,5198,44125,47,64,14,67,739,9,35958,6992,235,1630,1231,399,4786,941,794,263,44060,24,22,79,116,24228
"2020","15:00~17:59",177378,2203,34,49,71,-,326,59,1521,15,128,28619,28256,3308,13960,140,2799,48,632,647,6722,36693,29,38,15,65,434,2,29232,6813,65,2524,1764,760,4248,1096,1124,165,51132,17,10,64,17,21210
"2020","18:00~20:59",176642,2864,53,46,61,-,457,70,1972,23,182,25781,38183,4259,19596,142,3324,24,802,655,9381,25697,11,26,8,19,292,1,18638,6676,26,2548,1646,902,4062,832,1045,61,56373,9,8,66,20,19093
"2020","21:00~23:59",190384,4160,34,78,90,-,731,142,2834,27,224,19245,52198,6546,30110,170,3335,11,1247,486,10293,20134,6,22,4,17,251,1,13541,6277,15,2771,1987,784,4070,830,2041,74,63335,24,8,26,10,21458
"2020","미상",448034,4582,62,69,114,-,1387,172,2581,63,134,20148,36600,4827,16190,250,3586,42,1283,2386,8036,226541,485,397,220,337,7967,57,196563,17480,3035,9088,4553,4535,20799,4011,7117,2482,18236,209,143,416,3301,94361
"2021","계",1429826,22476,270,388,495,-,5263,814,13962,238,1046,166409,232661,28453,115942,1165,21058,240,6484,5131,54188,361107,957,875,402,376,10472,63,294075,50421,3466,23360,16969,6391,40708,8088,16936,3656,308634,406,206,274,1823,243082
"2021","00:00~02:59",57763,1908,18,21,38,-,600,107,992,18,114,9358,16431,2370,8810,88,1025,8,640,127,3363,4510,4,10,-,5,98,-,3120,1273,-,1113,949,164,640,318,579,14,15052,2,3,1,1,7833
"2021","03:00~05:59",50928,1752,17,33,54,-,613,125,798,22,90,10610,11894,1683,6101,68,769,3,518,75,2677,3483,5,4,-,9,31,1,2174,1258,1,722,673,49,534,246,334,22,12875,4,5,4,-,8443
"2021","06:00~08:59",68799,1204,17,24,28,-,264,48,737,8,78,12020,11968,1472,5609,80,1173,9,265,65,3295,5322,7,11,1,7,75,-,2863,2328,30,759,713,46,993,188,147,52,24317,1,2,10,5,11811
"2021","09:00~11:59",147157,1542,29,42,47,-,238,33,1050,16,87,21357,20254,2390,9719,112,2252,20,333,301,5127,36537,99,79,13,62,1045,10,29237,5642,350,1586,1323,263,4320,645,819,468,33579,34,18,26,131,25841
"2021","12:00~14:59",164739,1912,24,30,51,-,327,49,1317,21,93,26178,22191,2507,10942,104,2425,47,460,497,5209,43434,33,49,13,50,601,10,35945,6397,336,1954,1622,332,4235,758,796,231,39711,14,14,27,80,23204
"2021","15:00~17:59",171860,2254,32,42,55,-,333,62,1596,32,102,27544,26850,3074,12858,140,2776,59,592,658,6693,39182,30,31,11,50,384,4,31982,6634,56,2582,2038,544,4008,808,1206,172,46110,6,9,22,8,21099
"2021","18:00~20:59",171036,2946,49,59,57,-,478,76,2065,22,140,24162,37986,4262,19282,148,3368,37,913,622,9354,23055,16,40,10,19,248,-,16599,6098,25,3259,2141,1118,3759,932,1089,36,52167,15,6,9,12,21603
"2021","21:00~23:59",194712,4550,38,62,92,-,942,127,3016,38,235,17908,53549,6579,30009,192,3673,16,1694,464,10922,16590,6,29,7,9,157,3,10378,5989,12,2933,2343,590,3070,858,3321,23,69859,24,9,13,12,21993
"2021","미상",402832,4408,46,75,73,-,1468,187,2391,61,107,17272,31538,4116,12612,233,3597,41,1069,2322,7548,188994,757,622,347,165,7833,35,161777,14802,2656,8452,5167,3285,19149,3335,8645,2638,14964,306,140,162,1574,101255
